Date,Open,High,Low,Close,Adj Close,Volume
1/3/2011,140.74,141.68,140.67,140.99,95.70,4815575
1/4/2011,141.07,141.70,140.19,141.15,95.80,5292865
1/5/2011,140.86,140.99,140.28,140.58,95.42,4871640
1/6/2011,140.66,142.25,140.36,142.12,96.46,5260543
1/7/2011,142.25,142.31,140.48,141.42,95.99,4325942
1/10/2011,141.09,141.55,140.76,141.15,95.80,3800536
1/11/2011,141.68,141.83,140.30,140.80,95.57,4355126
1/12/2011,141.48,142.72,141.18,142.54,96.75,4279709
1/13/2011,142.68,142.72,141.73,142.28,96.57,3604307
1/14/2011,142.34,143.40,141.94,143.40,97.33,4753233
1/18/2011,143.23,144.80,142.81,144.02,97.75,9599037
1/19/2011,146.52,149.26,146.11,148.84,101.03,12699486
1/20/2011,147.73,149.10,147.66,148.95,101.10,7782135
1/21/2011,149.52,149.89,148.15,148.66,100.90,7331414
1/24/2011,148.59,152.76,148.50,152.61,103.58,7620215
1/25/2011,152.21,157.12,152.01,154.34,104.76,8640797
1/26/2011,154.56,154.78,153.37,153.96,104.50,5599343
1/27/2011,154.33,155.05,153.79,153.99,104.52,5102702
1/28/2011,153.97,154.80,151.69,152.21,103.31,7034978
1/31/2011,152.18,154.88,151.70,154.88,105.12,7528271
2/1/2011,154.98,156.73,154.88,156.37,106.13,6099540
2/2/2011,156.21,156.41,155.46,156.12,105.96,4083584
2/3/2011,155.98,156.98,155.65,156.34,106.11,4898836
2/4/2011,156.29,156.92,156.04,156.79,106.42,3927939
2/7/2011,156.86,157.73,156.81,157.57,106.95,5154793
2/8/2011,157.57,158.94,157.09,158.75,108.17,5870780
2/9/2011,158.34,158.67,156.88,157.41,107.26,4846746
2/10/2011,156.69,157.74,156.00,156.87,106.90,6001739
2/11/2011,156.77,157.75,156.13,156.64,106.74,5423719
2/14/2011,156.96,157.15,155.69,156.04,106.33,4319771
2/15/2011,155.73,156.38,155.37,155.68,106.08,3942060
2/16/2011,156.15,156.41,155.59,156.21,106.45,3363936
2/17/2011,156.12,157.43,155.69,157.02,107.00,3379103
2/18/2011,157.23,157.59,156.88,157.59,107.39,4440270
2/22/2011,156.38,157.04,154.67,154.83,105.50,5448928
2/23/2011,154.69,155.53,153.10,153.14,104.35,6274013
2/24/2011,152.61,154.18,152.04,153.70,104.73,5970045
2/25/2011,153.98,155.20,153.79,155.14,105.72,4726246
2/28/2011,155.22,155.82,154.15,154.76,105.46,4992558
3/1/2011,155.98,155.98,152.85,152.93,104.21,4584409
3/2/2011,152.42,154.02,152.40,153.12,104.34,3569998
3/3/2011,154.32,156.79,154.18,156.29,106.50,4244459
3/4/2011,156.21,157.08,153.59,154.71,105.43,5136592
3/7/2011,154.49,155.81,151.86,152.90,104.19,5556352
3/8/2011,152.68,156.24,152.21,155.14,105.72,5632501
3/9/2011,156.28,160.34,156.10,158.57,108.05,9504584
3/10/2011,157.40,157.43,154.28,154.89,105.55,7365304
3/11/2011,155.26,156.06,153.77,155.29,105.82,4467466
3/14/2011,154.07,154.86,153.05,154.29,105.14,4498323
3/15/2011,150.43,152.62,149.98,152.03,103.59,6773687
3/16/2011,149.64,150.08,145.04,146.27,99.67,12756284
3/17/2011,147.23,147.71,145.98,147.40,100.44,7715714
3/18/2011,149.62,150.05,147.53,149.03,101.56,11976700
3/21/2011,150.71,152.61,150.16,150.75,102.72,6050064
3/22/2011,151.59,151.63,150.59,151.05,102.93,4509724
3/23/2011,151.05,153.04,150.60,152.51,103.93,5002495
3/24/2011,153.18,153.64,151.85,153.00,104.26,5382507
3/25/2011,153.90,155.58,153.69,155.05,105.65,5594113
3/28/2011,154.44,155.43,154.03,154.27,105.13,4155549
3/29/2011,154.24,155.92,154.06,155.72,106.11,3615708
3/30/2011,156.36,156.78,155.85,156.41,106.58,3550229
3/31/2011,156.21,156.85,155.90,155.90,106.23,4038397
4/1/2011,156.50,157.19,155.87,157.05,107.01,4583467
4/4/2011,157.19,157.49,156.39,157.03,107.00,3373455
4/5/2011,156.61,157.46,156.42,156.78,106.83,3778152
4/6/2011,157.11,157.50,156.61,156.83,106.86,3948441
4/7/2011,156.88,157.31,156.10,157.15,107.09,3835368
4/8/2011,157.12,157.15,155.98,156.84,106.87,3477009
4/11/2011,156.25,156.79,155.94,156.74,106.81,4329394
4/12/2011,156.18,156.57,155.16,156.07,106.35,4038188
4/13/2011,156.76,157.68,156.46,156.74,106.81,4374267
4/14/2011,156.63,158.09,155.98,157.72,107.47,4915259
4/15/2011,157.74,159.02,157.62,158.90,108.28,5530620
4/18/2011,157.40,158.85,155.70,158.64,108.10,6444092
4/19/2011,158.42,159.06,157.21,158.13,107.75,6848267
4/20/2011,155.93,158.59,155.06,157.50,107.33,11392823
4/21/2011,158.35,161.04,157.61,160.88,109.63,6441686
4/25/2011,160.28,161.35,159.88,160.30,109.23,3748655
4/26/2011,160.60,161.76,160.04,161.08,109.76,7635800
4/27/2011,161.20,163.09,161.05,162.88,110.99,5543486
4/28/2011,162.51,163.84,162.24,163.27,111.26,5321734
4/29/2011,163.58,165.39,162.98,163.08,111.13,5844734
5/2/2011,164.54,165.91,163.95,164.58,112.15,5644425
5/3/2011,164.44,165.85,163.70,165.27,112.62,5238054
5/4/2011,164.78,165.03,162.13,163.12,111.15,7207254
5/5/2011,162.97,163.36,160.13,161.05,109.74,7669272
5/6/2011,161.60,162.67,160.84,161.46,110.52,5062012
5/9/2011,160.98,162.38,160.91,161.66,110.65,3760161
5/10/2011,161.81,163.38,161.78,162.89,111.49,5161801
5/11/2011,162.81,163.02,160.44,162.05,110.92,4877707
5/12/2011,162.19,165.17,161.23,164.67,112.71,5374871
5/13/2011,164.15,164.58,161.99,162.45,111.19,5405100
5/16/2011,162.34,163.14,160.91,161.43,110.50,4876661
5/17/2011,160.47,163.87,159.21,163.00,111.57,9176767
5/18/2011,162.62,163.66,162.01,162.94,111.53,4345398
5/19/2011,163.35,163.86,161.87,163.09,111.63,3701062
5/20/2011,162.91,163.62,161.93,162.68,111.35,5093915
5/23/2011,161.17,161.27,159.72,160.86,110.10,5380624
5/24/2011,161.09,161.25,160.14,160.60,109.93,4857206
5/25/2011,160.26,160.99,160.14,160.37,109.77,4060677
5/26/2011,160.10,160.13,158.60,159.83,109.40,6036780
5/27/2011,160.53,161.06,159.66,160.13,109.61,3428370
5/31/2011,161.03,162.42,160.44,161.50,110.54,9543076
6/1/2011,161.47,162.12,159.18,159.24,108.99,5370792
6/2/2011,159.12,159.75,158.42,158.79,108.68,4031389
6/3/2011,157.07,158.59,156.91,157.79,108.00,5471103
6/6/2011,157.51,158.30,157.05,157.50,107.81,3786206
6/7/2011,157.85,157.97,156.41,156.49,107.11,4379602
6/8/2011,156.09,157.60,156.08,157.11,107.54,4027937
6/9/2011,157.75,158.66,157.51,157.59,107.87,4497591
6/10/2011,157.33,157.59,155.71,156.00,106.78,4898732
6/13/2011,157.21,157.23,155.57,155.99,106.77,5333763
6/14/2011,156.66,157.33,156.45,156.90,107.40,7374300
6/15/2011,155.59,156.22,154.42,155.19,106.22,5465978
6/16/2011,154.93,156.43,154.67,155.52,106.45,5084711
6/17/2011,157.02,157.84,156.39,157.21,107.60,7478586
6/20/2011,156.50,158.33,156.40,157.76,107.98,4138081
6/21/2011,157.93,159.42,156.79,158.91,108.77,5635116
6/22/2011,158.31,159.47,157.84,158.39,108.42,4142683
6/23/2011,156.85,159.40,156.60,158.81,108.70,5513989
6/24/2011,158.56,158.64,157.33,157.81,108.02,4605120
6/27/2011,158.45,160.84,157.94,160.25,109.69,4651248
6/28/2011,160.93,163.19,160.62,162.53,111.25,5073100
6/29/2011,163.11,163.35,162.35,163.04,111.60,3992687
6/30/2011,163.59,164.87,163.24,164.01,112.26,5340039
7/1/2011,164.06,166.97,163.95,166.86,114.21,5420058
7/5/2011,165.89,167.72,165.89,167.72,114.80,4797479
7/6/2011,167.49,169.95,167.39,169.89,116.29,6156651
7/7/2011,169.01,169.47,168.37,168.72,115.48,6177258
7/8/2011,167.77,168.73,167.31,168.73,115.49,4602295
7/11/2011,167.21,168.40,166.93,167.29,114.51,4985759
7/12/2011,167.24,167.66,166.24,166.40,113.89,5268493
7/13/2011,167.21,168.57,166.35,166.65,114.07,4262241
7/14/2011,166.73,168.36,166.20,166.57,114.01,4825303
7/15/2011,167.38,168.20,166.41,167.82,114.87,5593067
7/18/2011,167.05,168.70,165.95,167.57,114.70,9288166
7/19/2011,170.88,177.07,170.79,177.07,121.20,13854898
7/20/2011,175.76,176.31,174.95,175.57,120.18,6172551
7/21/2011,175.52,177.34,174.86,176.77,120.99,5186486
7/22/2011,176.52,177.47,176.16,177.04,121.18,4723841
7/25/2011,175.80,176.83,175.22,175.62,120.21,5216402
7/26/2011,174.89,175.96,174.62,174.89,119.70,4556585
7/27/2011,174.01,174.87,172.97,173.37,118.67,6073913
7/28/2011,173.10,175.21,172.93,173.80,118.96,4684825
7/29/2011,172.33,175.36,171.83,173.85,119.00,6972218
8/1/2011,174.57,175.61,170.65,172.80,118.28,6111464
8/2/2011,172.04,174.27,170.04,170.22,116.51,6035838
8/3/2011,169.86,171.35,167.70,170.97,117.02,7031212
8/4/2011,168.74,170.10,163.65,163.94,112.21,11529326
8/5/2011,164.53,166.56,159.20,165.37,113.19,12417903
8/8/2011,161.41,165.02,158.70,158.91,109.24,16531925
8/9/2011,160.10,163.53,154.88,163.11,112.13,13093410
8/10/2011,160.78,161.79,154.73,155.39,106.82,14637306
8/11/2011,156.88,161.35,155.77,159.40,109.58,9597678
8/12/2011,161.09,161.93,158.54,160.80,110.54,5425602
8/15/2011,163.79,166.35,162.90,165.38,113.69,7997088
8/16/2011,164.62,164.62,161.57,163.71,112.54,5842328
