,Actual,Prediction
0,129.36,129.713694
1,131.85,131.7713671
2,137.19,137.4206766
3,159.64,159.9682056
4,180.13,180.0520613
5,138.13,138.0911228
6,133.92,134.4809819
7,130.61,131.3780779
8,147.03,147.1773586
9,139.25,138.3427818
10,136.5,136.9081345
11,134.66,133.7148144
12,168.07,167.4905093
13,122.93,123.4148535
14,155.24,156.3881459
15,127.88,128.1473377
16,116.73,116.4429389
17,140.26,141.7476556
18,134.38,135.0374817
19,114.81,114.5187682
20,137.08,137.0479935
21,166.48,166.801002
22,141.39,140.8152336
23,119.6,120.1759945
24,183.18,182.9040574
25,173.37,172.978555
26,173.37,174.1720187
27,120.39,119.420981
28,133.94,133.3486693
29,174.24,174.7566154
30,148.49,148.3078643
31,116.92,117.4413442
32,128.2,128.006328
33,133.71,134.1302754
34,123.61,123.2802862
35,136.74,136.8737827
36,169.74,171.517584
37,158.3,158.9250055
38,197.09,198.5105292
39,135.22,135.1535932
40,186.2,185.240826
41,181.03,180.8270957
42,118.71,118.8458096
43,133.85,133.3310748
44,143.92,144.648186
45,148.95,148.6138673
46,183.17,183.1832685
47,137.19,137.6738253
48,134.89,134.5856828
49,149.91,151.2689289
50,174.23,174.6460478
51,122.04,122.1105728
52,118.8,118.4606716
53,178.78,178.2914839
54,177.05,176.8759997
55,116.41,116.7216232
56,143.4,142.7818367
57,186.7,186.868865
58,118.06,118.6880716
59,110.64,111.1001234
60,129.32,129.5162404
61,138.56,138.5561158
62,147.98,147.9616233
63,125.44,125.0828043
64,175.57,176.0906095
65,137.73,137.657875
66,120.31,120.0986197
67,190.74,190.2892613
68,128.47,128.3113883
69,129.82,129.345729
70,179.21,179.0172154
71,130.23,130.2891751
72,163.04,162.6124229
73,131.62,130.937861
74,143.43,143.3066407
75,177.27,176.8506462
76,131.65,131.1843022
77,159.89,159.7040335
78,115.1,114.6955599
79,202.93,201.4693599
80,184.15,184.2988898
81,115.72,114.6970758
82,146.45,145.8951322
83,127.06,126.1560558
84,190.26,190.1258484
85,145.34,146.2100152
86,184.02,186.2700555
87,131.73,132.4007
